Total number of drug-related deaths in latest FIVE years - from SAS output 2016-2020,,,,,,,,,,,,,,,,,,,,,
(''City of Edinburgh' and 'Na h-Eileanan Siar' are in their new alphabetical order),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Age at Death,,,,,,,All,,,,,,,,,,,,,
,0-14,15-24,25-34,35-44,45-54,55-64,65+,,,age 15-64 only,,,,,,,,,,,
All,,9.3,29.1,60.6,42.2,12.6,,,,31.0,,20.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,,4.1,15.5,64.2,60.6,13.7,,,,30.7,,22.1,,,,,,,,,
Aberdeenshire,,4.5,19.7,24.0,16.4,5.5,,,,14.3,,9.0,,,,,,,,,
Angus,,8.2,24.9,47.7,26.1,7.2,,,,22.3,,13.6,,,,,,,,,
Argyll + Bute,,6.5,37.5,34.0,26.9,7.4,,,,21.1,,13.0,,,,,,,,,
City of Edinburgh,,6.9,13.9,42.3,46.2,13.3,,,,23.9,,17.6,,,,,,,,,
Clackmannanshire,,3.5,42.0,86.7,24.8,2.8,,,,30.6,,19.8,,,,,,,,,
Dumfries + Galloway,,5.4,43.0,67.6,20.2,7.0,,,,25.8,,15.6,,,,,,,,,
Dundee City,,8.2,47.4,145.6,85.9,23.4,,,,57.5,,39.0,,,,,,,,,
East Ayrshire,,9.0,49.8,98.8,41.8,10.6,,,,41.1,,26.1,,,,,,,,,
East Dunbartonshire,,5.1,18.6,30.3,7.5,8.9,,,,13.3,,8.3,,,,,,,,,
East Lothian,,7.2,21.0,45.8,24.8,8.0,,,,21.4,,13.8,,,,,,,,,
East Renfrewshire,,3.7,20.1,21.2,15.6,4.7,,,,12.7,,8.0,,,,,,,,,
Falkirk,,9.2,46.8,49.0,39.8,10.4,,,,31.8,,20.8,,,,,,,,,
Fife,,11.3,28.2,59.4,29.2,9.1,,,,26.9,,17.3,,,,,,,,,
Glasgow City,,9.7,25.0,96.0,114.0,35.4,,,,53.0,,38.7,,,,,,,,,
Highland,,9.1,30.4,29.6,17.1,9.8,,,,18.7,,11.7,,,,,,,,,
Inverclyde,,16.3,41.9,113.3,71.4,21.9,,,,52.1,,34.0,,,,,,,,,
Midlothian,,18.6,15.9,73.8,15.4,11.6,,,,27.1,,17.5,,,,,,,,,
Moray,,5.7,31.0,29.1,15.4,10.5,,,,18.0,,11.7,,,,,,,,,
Na h-Eileanan Siar,,8.2,16.5,26.8,9.9,0.0,,,,11.3,,6.7,,,,,,,,,
North Ayrshire,,5.2,40.1,104.3,53.9,10.1,,,,40.8,,25.9,,,,,,,,,
North Lanarkshire,,13.0,40.9,58.0,35.6,10.2,,,,31.8,,21.3,,,,,,,,,
Orkney Islands,,9.4,24.4,0.0,12.0,12.0,,,,11.7,,8.1,,,,,,,,,
Perth + Kinross,,7.6,28.6,49.8,26.0,13.9,,,,24.9,,15.7,,,,,,,,,
Renfrewshire,,17.0,43.9,76.8,51.6,16.1,,,,41.2,,27.2,,,,,,,,,
Scottish Borders,,14.1,41.9,32.1,27.1,5.6,,,,22.5,,13.9,,,,,,,,,
Shetland Islands,,0.0,22.4,7.2,0.0,25.0,,,,11.0,,7.8,,,,,,,,,
South Ayrshire,,10.3,52.3,72.3,26.9,8.2,,,,31.3,,19.2,,,,,,,,,
South Lanarkshire,,11.6,37.9,61.8,37.4,9.1,,,,31.5,,20.7,,,,,,,,,
Stirling,,16.0,36.1,67.6,33.2,4.9,,,,30.1,,19.7,,,,,,,,,
West Dunbartonshire,,18.2,31.4,78.0,52.6,7.7,,,,36.9,,24.5,,,,,,,,,
West Lothian,,9.7,32.4,26.7,19.8,6.0,,,,19.2,,13.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,,
